Country Name,Export Value 2013,Import Value 2013,Export Value 2014,Import Value 2014,Export Value 2015,Import Value 2015,Export Value 2016,Import Value 2016,Export Value 2017,Import Value 2017,Export Value 2018,Import Value 2018,Export Value 2019,Import Value 2019,Export Value 2020,Import Value 2020,Export Value 2021,Import Value 2021,Export Value 2022,Import Value 2022,Export Value 2023,Import Value 2023,Export Value Total,Import Value Total
Kyrgyzstan,163907,549,155882,8462,80323,1154,63763,556,85019,456,78768,408,106461,598,74142,508,112507,432,372854,541,1171715,2221,2465341,15885
Cayman Islands,51003,5,581969,15,542369,75,71417,117,623665,54,173989,5,105837,45,38702,905,41946,2,8404,5304,209061,12,2448362,6539
Fiji,42582,10743,307305,7800,321902,3812,179082,2904,211838,5138,235218,5024,296132,10572,130504,12054,176323,20911,279922,5217,206168,3858,2386976,88033
Tanzania,145052,46144,333072,42479,193680,50835,138983,41650,124819,40382,193690,33160,138020,36708,151237,47170,200128,25889,321157,76320,308448,68305,2248286,509042
Croatia,46307,16603,93728,15328,299912,9987,448413,13445,327605,15986,241137,18852,241177,26592,97161,23248,142074,33931,141139,124152,117739,94498,2196392,392622
Costa Rica,232059,267247,242541,290797,245305,149822,217163,133093,168428,139198,134920,206915,119381,225231,111119,156006,191258,420950,213197,172429,281850,157679,2157221,2319367
Guam,183712,4697,346060,2076,66505,1326,71142,1099,47756,2635,188461,3341,188123,8503,109211,2445,103550,6320,468982,4301,377096,5030,2150598,41773
Isle of Man,87323,1,277314,1,465860,3,634023,59,507231,63,,,24244,10,24361,6,,,23500,612,90680,209,2134536,964
Republic of the Congo,52330,10641,54062,325798,501969,81246,1205350,44825,23366,15959,104733,78235,23272,5976,24973,6300,26290,336505,26515,8386,29895,6519,2072755,920390
Lebanon,378330,65620,303214,27066,252978,23514,199849,18967,188492,41770,174102,35400,149662,437075,79288,20490,94952,33410,92548,25440,89553,33080,2002968,761832
Syria,445464,1130,422812,873,209267,102,193803,6155,215651,25,149346,282,142163,434,51764,65,28028,91,21467,257,16549,244,1896314,9658
Tunisia,167114,244391,207870,121900,183660,50552,152999,53992,134542,52922,154156,60528,181129,56175,155486,86619,219285,108789,143303,350364,140298,462593,1839842,1648825
El Salvador,152740,17116,139444,57839,129019,14179,128448,12925,159638,19797,165981,23958,149353,39237,120446,61542,254530,98167,208119,69242,198422,61084,1806140,475086
Uruguay,385919,120945,255320,72616,192795,83583,100384,81324,115478,115040,121974,132483,121278,134323,75140,118416,134030,137197,152393,301063,136700,149167,1791411,1446157
Venezuela,442905,51113,235884,14936,449476,20768,324023,31710,51118,16946,20568,34437,22184,16899,19218,14456,31143,15062,41227,13658,36198,7932,1673944,237917
Serbia,58887,70598,63387,100654,73191,115821,94251,43680,95700,64692,153302,60927,141587,240698,206587,167748,267573,210124,232902,181170,270150,122300,1657517,1378412
Bulgaria,120365,171890,117808,190088,107688,101716,134652,102126,137416,154226,174344,179430,165646,254601,157413,208741,166799,436185,166515,310624,196063,358350,1644709,2467977
Azerbaijan,308444,3361,269573,54,122891,3404,118289,337,53310,885,68200,1630,80307,1312,71871,2930,108117,1519,184840,975,243840,2974,1629682,19381
Paraguay,203308,74537,224302,72656,224705,19655,123961,103899,145790,98704,151274,45710,111368,79543,87464,84033,121082,57043,120463,78291,108756,134706,1622473,848777
Côte d'Ivoire,141915,2164,218666,7615,117042,14481,76687,14869,110692,7888,118933,6873,136494,5264,113429,5169,182764,15430,170419,17781,216600,6685,1603641,104219
Yemen,178572,1663255,322044,2391853,202916,361343,127425,16712,88698,43089,86970,53330,161117,43173,156503,39946,118577,48370,72316,56531,68987,36463,1584125,4754065
Sudan,165870,122166,140815,30834,163358,17819,149183,11588,164174,21629,127520,57577,142394,54020,141950,10884,152798,12501,127641,6876,47610,6932,1523313,352826
Honduras,124048,54172,114904,51055,117101,55093,117049,47472,125870,41861,117597,52093,125282,62585,107745,71179,135446,81663,141352,118358,163528,71858,1389922,707389
Senegal,75291,61813,127125,53047,146175,62675,250150,74291,78567,61231,119357,59267,85440,49038,77465,40744,98817,48719,89764,51501,111741,44462,1259892,606788
Nicaragua,188318,24016,182230,21699,148665,12604,128189,11905,106043,10848,97562,16750,70235,20182,78914,70717,79156,50497,79148,78539,83556,48472,1242016,366229
Luxembourg,383450,43471,572388,39946,12919,50057,10705,82085,19443,69042,28200,68703,24619,67725,18413,75447,37373,104113,49634,91039,44542,72251,1201686,763879
Papua New Guinea,64227,233191,246912,162266,199116,315679,88152,141923,41587,195473,53398,319036,48133,383272,53537,535714,75126,689971,142172,1684405,183562,1033739,1195922,5694669
Laos,187050,12482,156036,18036,170369,28418,126414,22742,92202,27329,83953,30127,75405,39121,49797,43858,70522,48727,64325,85237,101193,92891,1177266,448968
Brunei,102374,1934821,290269,1292181,272188,967296,66656,711983,63809,795342,61783,610321,73663,408270,81979,215455,45643,122519,49721,295498,60250,405627,1168335,7759313
Georgia,112457,9741,143891,19984,73326,14270,97312,23878,57925,36031,79876,70271,86467,18641,98162,14676,103114,11214,120543,9957,193770,12724,1166843,241387
